boundary_hour,tau_exempt,tau_exempt_se,delta,se,ci_low,ci_high,delta_pct,n_obs,n_dates,detection_group
5,-0.008604646421942131,0.008829161054005124,-0.8408335557882204,0.010457226015592033,-0.8613297187787807,-0.82033739279766,-56.86491814386956,10394,435,Brooklyn Bridge
21,-0.03712087165335243,0.018128823977749405,0.20859561161808837,0.01832869672840762,0.17267136603040945,0.2445198572057673,23.194671284876474,10382,435,Brooklyn Bridge
5,0.11294704355745344,0.008088246330650672,-0.8907604441030927,0.01112825089121692,-0.9125718158498779,-0.8689490723563076,-58.9656409287302,10442,435,FDR Drive at 60th St
21,0.07677632724971624,0.015217013349847066,0.04329874281633385,0.009979215938773104,0.023739479576338565,0.06285800605632913,4.424981038634089,10476,435,FDR Drive at 60th St
5,0.10827508685189077,0.020777190665196694,-0.45855637195318816,0.023098583614209925,-0.5038295958370396,-0.4132831480693367,-36.78043575831559,10518,435,Hugh L. Carey Tunnel
21,0.03766631284662139,0.015832596031420048,-0.028108527083643645,0.01393626147939859,-0.055423599583264885,-0.0007934545840224093,-2.7717157946120943,10470,435,Hugh L. Carey Tunnel
5,-0.06521385818973537,0.03192374793746837,-0.7453620574989238,0.03262265981017837,-0.8093024707268734,-0.6814216442709742,-52.5437550061709,10482,435,West Side Highway at 60th St
21,0.09153860966890373,0.019177700187772324,0.08153404501985173,0.019329379966847377,0.043648460284830874,0.11941962975487258,8.495015410477844,10430,435,West Side Highway at 60th St
