f,ci_low,ci_high,deficit,surplus,n_dates,note,boundary_hour,counterfactual,is_primary
-0.1451965478054845,-0.16670436737888114,-0.1218699466098945,1300899.3150152776,-188886.08958273777,435,,5,loglinear,True
-0.002223436415700851,-0.05193169686462348,0.056865900605663953,501476.0,-1115.0,435,,5,flat,True
-0.13818961205989075,-4.284234751338978,-0.021991681571135294,157966100302.34534,-21829274119.394894,435,,5,quadratic,True
,,,-39859.71215453285,-55581.02977480652,435,deficit is not positive; f undefined,21,loglinear,False
,,,-523274.0,201782.0,435,deficit is not positive; f undefined,21,flat,False
-0.266472511410145,-1.1615992374307214,-0.07142960424227283,197139422438.5062,-52532236995.13424,435,,21,quadratic,False
