sample,weather_controls,beta_mph,se_mph,t,p_value,ci_low,ci_high,pct_of_pre_treated_mean,pre_treated_mean_mph,n_obs,n_links,n_clusters,n_periods
all,True,0.686541,0.227923,3.012168,0.002798,0.238146,1.134937,7.084046,9.691374,1936508,325,325,7238
peak,True,0.663242,0.240417,2.758717,0.006133,0.190267,1.136218,8.337498,7.954931,354690,325,325,1290
offpeak,True,0.551383,0.225803,2.441873,0.015146,0.107157,0.995609,5.513929,9.99982,1025109,325,325,3867
weekend,True,0.977069,0.248738,3.928099,0.000105,0.487723,1.466416,9.581551,10.197401,556709,325,325,2081
