sample,horizon,breakdown_relative_magnitude,breakdown_smoothness,n_pre_bins,n_post_bins,min_eigenvalue,n_obs,n_clusters,ci_low_at_M0,ci_high_at_M0,run_at
all,26,0.063477,0.0,25,17,0.001546,5375370,333,0.508185,1.747224,2026-09-13T14:24:29+00:00
peak,26,0.014648,0.0,25,17,0.003532,986340,333,0.177958,1.704765,2026-09-13T14:24:56+00:00
offpeak,26,0.03418,0.03418,25,17,0.002772,2866467,333,0.319432,1.576848,2026-09-13T14:26:39+00:00
weekend,26,0.112305,0.014648,25,17,0.003623,1522563,333,0.981972,2.209571,2026-09-13T14:28:12+00:00
