f,ci_low,ci_high,deficit,surplus,n_dates,note,boundary_hour,year
-0.07198756664475041,-0.11761025293727788,-0.018516719013674333,704263.0734702888,-50698.184936879166,258,,5,2025
-0.2316116504891174,-0.2441108077444919,-0.2206744658341875,596636.2415449889,-138187.9046458586,177,,5,2026
-3.1340212682019457,-20.26183351940097,-0.3611912182149005,21463.455760046912,-67266.92684109858,258,,21,2025
,,,-61323.167914579746,11685.897066292055,177,deficit is not positive; f undefined,21,2026
