f,ci_low,ci_high,deficit,surplus,n_dates,note,boundary_hour,detection_group
-0.25153470210450374,-0.28448241081713616,-0.21182005811533405,395307.33666663105,-99433.51316816581,421,,5,Brooklyn Bridge
-0.1704036153225227,-0.20712351431510317,-0.13149124749775376,471211.4934123331,-80296.14205898665,414,,5,FDR Drive at 60th St
-0.10529813878615622,-0.1491406744285263,-0.0607809513532249,69710.72784064623,-7340.409895048331,422,,5,Hugh L. Carey Tunnel
-0.004979915184084055,-0.006968159177793966,-0.003030801513978852,364669.75709566724,-1816.0244605369573,416,,5,West Side Highway at 60th St
,,,-25308.2528223782,-38654.727165037984,414,deficit is not positive; f undefined,21,Brooklyn Bridge
,,,-7436.5671547312995,-20687.238913257264,409,deficit is not positive; f undefined,21,FDR Drive at 60th St
,,,-3927.4732644336164,413.3126176620326,411,deficit is not positive; f undefined,21,Hugh L. Carey Tunnel
,,,-3187.418912989717,3347.6236858267102,416,deficit is not positive; f undefined,21,West Side Highway at 60th St
