sample,k,coef,se,p_value,ci_low,ci_high,observed_month_min,observed_month_max,observed_month_count,pooled_tail
offpeak,-12,2.404804021909541,2.38435601265656,0.3154324005930778,-2.3214032411436363,7.131011284962717,-24,-12,13,True
offpeak,-11,3.07155925176397,2.6357402688350073,0.24644481645817795,-2.1529352180071615,8.2960537215351,-11,-11,1,False
offpeak,-10,1.29914650487295,2.0010629411664134,0.5175691897959465,-2.667307395536885,5.265600405282785,-10,-10,1,False
offpeak,-9,-1.1626829904156193,1.3750908202937302,0.3996833821645164,-3.8883515515417226,1.5629855707104838,-9,-9,1,False
offpeak,-8,-1.3472253231220737,0.8789992848345147,0.1282786844124941,-3.089554397367505,0.3951037511233575,-8,-8,1,False
offpeak,-7,0.5918503551821098,1.044615158704257,0.5721801317211115,-1.4787581126627614,2.6624588230269812,-7,-7,1,False
offpeak,-6,-0.868958942716893,1.1885510422278607,0.46629655515053026,-3.2248733021787213,1.486955416744935,-6,-6,1,False
offpeak,-5,0.6356925467027248,1.4115720576985402,0.6533653795279626,-2.162288155845447,3.433673249250896,-5,-5,1,False
offpeak,-4,-1.5984336849366019,0.8244527617046447,0.055137519054722424,-3.232642087427373,0.035774717554169166,-4,-4,1,False
offpeak,-3,-1.4611396817760633,1.0260739873614613,0.15732642516229237,-3.4949963314357797,0.572716967883653,-3,-3,1,False
offpeak,-2,-0.6453604480712749,0.4592873536767869,0.1628512572959655,-1.5557476617479797,0.2650267656054298,-2,-2,1,False
offpeak,-1,0.0,0.0,,0.0,0.0,-1,-1,1,False
offpeak,0,0.9819099205053876,1.5607261192980926,0.5305881497350163,-2.111720007873064,4.075539848883839,0,0,1,False
offpeak,1,2.4664315075120653,1.6608629154178098,0.14044887815139878,-0.8256869228382819,5.758549937862412,1,1,1,False
offpeak,2,1.5515204250099237,1.1874686946108324,0.19413161302163037,-0.8022485337057095,3.905289383725557,2,2,1,False
offpeak,3,3.9099882667371677,1.37661846417102,0.005387900202079599,1.1812916504255635,6.6386848830487715,3,3,1,False
offpeak,4,4.762557703685135,1.5830455980942,0.0032674782432592854,1.6246866962757904,7.90042871109448,4,4,1,False
offpeak,5,4.1506717424592,1.5911995369526262,0.010381165483569503,0.9966382136601704,7.304705271258229,5,5,1,False
offpeak,6,4.791610669951384,1.7890503191334617,0.008556156087878113,1.245402567061809,8.337818772840958,6,6,1,False
offpeak,7,4.291432433512143,1.6059619515880457,0.008703485310361646,1.108137237873191,7.474727629151095,7,7,1,False
offpeak,8,0.16717041381288705,0.9427939983107332,0.8595940095676408,-1.7016108498603184,2.0359516774860924,8,8,1,False
offpeak,9,2.504000378569225,1.0912838214183236,0.023692786372609593,0.34088652499109884,4.667114232147351,9,9,1,False
offpeak,10,1.4386067815384858,1.5908733946235019,0.36785576067622217,-1.7147802765839695,4.591993839660941,10,10,1,False
offpeak,11,3.1452653582731283,0.8514274907430653,0.00034812536810419135,1.457588363162989,4.832942353383268,11,11,1,False
offpeak,12,-1.8538885734468016,2.21157471877917,0.4037325721861322,-6.237613337364616,2.5298361904710127,12,16,5,True
