week,treatment_group,weekly_median_mph
2024-05-27,boundary,11.865340909090907
2024-05-27,control,18.315340909090907
2024-05-27,crossing,37.84772727272727
2024-05-27,exempt_in_zone,16.534090909090907
2024-05-27,treated,8.807386363636363
2024-06-03,boundary,10.063636363636363
2024-06-03,control,17.7
2024-06-03,crossing,34.39431818181818
2024-06-03,exempt_in_zone,16.25965909090909
2024-06-03,treated,8.089772727272727
2024-06-10,boundary,10.742045454545453
2024-06-10,control,17.41875
2024-06-10,crossing,34.552840909090904
2024-06-10,exempt_in_zone,16.043181818181814
2024-06-10,treated,8.795454545454545
2024-06-17,boundary,10.799999999999999
2024-06-17,control,16.878409090909088
2024-06-17,crossing,30.988636363636363
2024-06-17,exempt_in_zone,17.863636363636363
2024-06-17,treated,8.618181818181817
2024-06-24,boundary,10.793181818181818
2024-06-24,control,17.57556818181818
2024-06-24,crossing,36.178977272727266
2024-06-24,exempt_in_zone,17.890909090909087
2024-06-24,treated,8.035227272727273
2024-07-29,boundary,11.68465909090909
2024-07-29,control,16.663636363636364
2024-07-29,crossing,29.094886363636363
2024-07-29,exempt_in_zone,20.90113636363636
2024-07-29,treated,8.843181818181819
2024-08-05,boundary,10.842613636363636
2024-08-05,control,16.298863636363635
2024-08-05,crossing,37.53238636363636
2024-08-05,exempt_in_zone,16.932954545454542
2024-08-05,treated,8.128977272727273
2024-08-12,boundary,11.099999999999998
2024-08-12,control,16.080681818181816
2024-08-12,crossing,34.43181818181818
2024-08-12,exempt_in_zone,16.25965909090909
2024-08-12,treated,8.573863636363637
2024-08-19,boundary,11.192045454545454
2024-08-19,control,15.806249999999999
2024-08-19,crossing,33.964772727272724
2024-08-19,exempt_in_zone,17.836363636363636
2024-08-19,treated,8.764772727272728
2024-08-26,boundary,11.44090909090909
2024-08-26,control,15.82840909090909
2024-08-26,crossing,37.69772727272727
2024-08-26,exempt_in_zone,20.502272727272725
2024-08-26,treated,8.880681818181817
2024-09-02,boundary,11.41022727272727
2024-09-02,control,15.463636363636365
2024-09-02,crossing,38.83806818181818
2024-09-02,exempt_in_zone,19.39602272727273
2024-09-02,treated,8.338636363636363
2024-09-09,boundary,10.878409090909088
2024-09-09,control,15.112499999999999
2024-09-09,crossing,37.48806818181818
2024-09-09,exempt_in_zone,19.017613636363635
2024-09-09,treated,8.246590909090909
2024-09-16,boundary,10.182954545454544
2024-09-16,control,15.664772727272727
2024-09-16,crossing,36.60681818181818
2024-09-16,exempt_in_zone,19.86306818181818
2024-09-16,treated,7.772727272727272
2024-09-23,boundary,9.32215909090909
2024-09-23,control,15.552272727272726
2024-09-23,crossing,36.84715909090909
2024-09-23,exempt_in_zone,20.674431818181816
2024-09-23,treated,7.707954545454545
2024-09-30,boundary,9.540340909090908
2024-09-30,control,16.160795454545454
2024-09-30,crossing,28.321022727272727
2024-09-30,exempt_in_zone,20.00454545454545
2024-09-30,treated,8.406818181818181
2024-10-07,boundary,9.542045454545454
2024-10-07,control,15.899999999999999
2024-10-07,crossing,35.038636363636364
2024-10-07,exempt_in_zone,19.051704545454545
2024-10-07,treated,8.14090909090909
2024-10-14,boundary,9.876136363636363
2024-10-14,control,16.220454545454544
2024-10-14,crossing,27.770454545454545
2024-10-14,exempt_in_zone,18.252272727272725
2024-10-14,treated,7.830681818181818
2024-10-21,boundary,9.518181818181818
2024-10-21,control,16.09090909090909
2024-10-21,crossing,32.58749999999999
2024-10-21,exempt_in_zone,19.164204545454545
2024-10-21,treated,7.820454545454545
2024-10-28,boundary,9.051136363636363
2024-10-28,control,15.610227272727272
2024-10-28,crossing,35.31647727272727
2024-10-28,exempt_in_zone,20.764772727272724
2024-10-28,treated,8.125568181818181
2024-11-04,boundary,9.279545454545454
2024-11-04,control,15.598295454545452
2024-11-04,crossing,35.0625
2024-11-04,exempt_in_zone,18.67840909090909
2024-11-04,treated,8.117045454545455
2024-11-11,boundary,9.182386363636365
2024-11-11,control,15.085227272727272
2024-11-11,crossing,30.01363636363636
2024-11-11,exempt_in_zone,15.148295454545453
2024-11-11,treated,7.684090909090909
2024-11-18,boundary,9.661363636363637
2024-11-18,control,15.028977272727271
