sample,method,M,ci_low,ci_high,excludes_zero,original_estimate,original_se,status
all,relative_magnitude,0.0,0.401509,2.7768,True,1.589155,0.605953,ok
all,relative_magnitude,0.5,-7.635477,10.813786,False,1.589155,0.605953,ok
all,relative_magnitude,1.0,-15.672462,18.850772,False,1.589155,0.605953,ok
all,relative_magnitude,2.0,-31.746434,34.924743,False,1.589155,0.605953,ok
all,smoothness,0.0,-1.812672,0.971164,False,1.589155,0.605953,ok
all,smoothness,0.5,-23.877259,21.241595,False,1.589155,0.605953,ok
all,smoothness,1.0,-43.199147,37.887859,False,1.589155,0.605953,ok
all,smoothness,2.0,-79.309544,71.945182,False,1.589155,0.605953,ok
peak,relative_magnitude,0.0,-1.32422,2.503018,False,0.589399,0.976354,ok
peak,relative_magnitude,0.5,-9.93278,11.111577,False,0.589399,0.976354,ok
peak,relative_magnitude,1.0,-18.541339,19.720136,False,0.589399,0.976354,ok
peak,relative_magnitude,2.0,-35.758458,36.937255,False,0.589399,0.976354,ok
peak,smoothness,0.0,-3.004945,-0.019954,True,0.589399,0.976354,ok
peak,smoothness,0.5,-27.777533,17.433961,False,0.589399,0.976354,ok
peak,smoothness,1.0,-47.140106,36.246783,False,0.589399,0.976354,ok
peak,smoothness,2.0,-81.112068,74.771935,False,0.589399,0.976354,ok
offpeak,relative_magnitude,0.0,0.586399,4.383951,True,2.485175,0.968781,ok
offpeak,relative_magnitude,0.5,-8.030004,13.000355,False,2.485175,0.968781,ok
offpeak,relative_magnitude,1.0,-16.646408,21.616758,False,2.485175,0.968781,ok
offpeak,relative_magnitude,2.0,-33.879214,38.849564,False,2.485175,0.968781,ok
offpeak,smoothness,0.0,-0.408255,2.728581,False,2.485175,0.968781,ok
offpeak,smoothness,0.5,-25.059627,19.147901,False,2.485175,0.968781,ok
offpeak,smoothness,1.0,-42.772639,38.151183,False,2.485175,0.968781,ok
offpeak,smoothness,2.0,-77.757527,73.692831,False,2.485175,0.968781,ok
weekend,relative_magnitude,0.0,-0.971897,2.435554,False,0.731829,0.869264,ok
weekend,relative_magnitude,0.5,-10.98357,12.447227,False,0.731829,0.869264,ok
weekend,relative_magnitude,1.0,-20.995243,22.458901,False,0.731829,0.869264,ok
weekend,relative_magnitude,2.0,-41.01859,42.482247,False,0.731829,0.869264,ok
weekend,smoothness,0.0,-0.457414,1.678408,False,0.731829,0.869264,ok
weekend,smoothness,0.5,-21.70925,29.399821,False,0.731829,0.869264,ok
weekend,smoothness,1.0,-47.28532,46.225157,False,0.731829,0.869264,ok
weekend,smoothness,2.0,-89.155725,76.06304,False,0.731829,0.869264,ok
