sample,horizon,breakdown_relative_magnitude,breakdown_smoothness,n_pre_bins,n_post_bins,min_eigenvalue,n_obs,n_clusters,ci_low_at_M0,ci_high_at_M0,run_at
all,12,0.092773,0.043945,11,13,0.002468,5375370,333,0.527546,1.676823,2026-09-13T14:20:40+00:00
peak,12,0.043945,0.024414,11,13,0.004469,986340,333,0.210544,1.666091,2026-09-13T14:21:14+00:00
offpeak,12,0.053711,0.03418,11,13,0.003469,2866467,333,0.328755,1.501579,2026-09-13T14:22:09+00:00
weekend,12,0.170898,0.043945,11,13,0.005693,1522563,333,1.000607,2.140426,2026-09-13T14:22:53+00:00
