link_id,in_rule_a,in_rule_b
111113,False,True
112111,True,False
114137,True,False
115114,True,False
117071,True,False
117072,True,True
120140,True,False
121145,True,False
121146,True,False
123124,True,False
124123,True,False
124125,False,True
128068,True,False
135122,False,True
139146,True,False
140144,True,False
144092,False,True
145126,True,True
146121,True,True
146139,True,False
147150,False,True
148151,True,False
150147,True,False
154181,True,False
154182,True,False
156181,True,False
157158,True,False
157159,False,True
157160,True,False
157163,True,False
158157,True,False
158185,False,True
159157,True,False
159176,True,True
159179,True,False
160157,True,False
160159,True,False
160183,True,True
161183,True,False
162175,True,False
163157,True,True
163164,True,False
164163,False,True
165158,False,True
172171,True,False
175184,True,False
176177,False,True
176184,False,True
177157,False,True
177176,False,True
177178,False,True
178177,False,True
179159,True,False
179162,True,False
181154,True,False
181156,True,False
183160,True,False
183161,True,False
184175,True,False
184176,True,False
189022,False,True
201071,True,False
21022,True,False
22021,True,False
24026,False,True
34025,False,True
43051,False,True
63074,True,True
66067,True,False
66128,True,False
70071,True,False
71070,True,False
71117,True,False
71201,False,True
72117,True,False
74063,True,False
84066,True,False
86099,False,True
88087,True,False
91090,False,True
92144,True,False
94093,True,False
97096,False,True
99097,False,True
