sample,k,coef,se,p_value,ci_low,ci_high,observed_month_min,observed_month_max,observed_month_count,pooled_tail
peak,-12,-1.071456909929051,2.452699716725701,0.6630937788010516,-5.933133250939109,3.790219431081008,-24,-12,13,True
peak,-11,-0.9257237580766365,2.1702899142366214,0.6705606415819,-5.227614877166669,3.3761673610133958,-11,-11,1,False
peak,-10,-1.0800252856610955,2.3258331931751286,0.6433241371965298,-5.690230167769774,3.5301795964475824,-10,-10,1,False
peak,-9,-3.5396136672183753,1.1470741586988176,0.0025791937912530995,-5.813313647978691,-1.2659136864580596,-9,-9,1,False
peak,-8,-1.3283883413018587,0.9674197292706356,0.17255761850806636,-3.245982075890853,0.5892053932871355,-8,-8,1,False
peak,-7,-0.646326270811425,1.2817974678014998,0.6151238777660544,-3.187071222458548,1.894418680835698,-7,-7,1,False
peak,-6,-2.8157365128000342,1.1331747636543719,0.014496186426520796,-5.061885481269231,-0.5695875443308376,-6,-6,1,False
peak,-5,-0.4333506669226071,1.4932844438467192,0.7722199490736888,-3.393299494551501,2.5265981607062864,-5,-5,1,False
peak,-4,-1.2436336099543022,0.7591911958094405,0.10431044471428919,-2.74848226704846,0.2612150471398553,-4,-4,1,False
peak,-3,-0.8493014408612788,0.8587522924969602,0.3248763290208221,-2.5514974637784746,0.852894582055917,-3,-3,1,False
peak,-2,-0.3882743833281228,0.6240239028952208,0.5351147153918534,-1.6251980165972255,0.8486492499409799,-2,-2,1,False
peak,-1,0.0,0.0,,0.0,0.0,-1,-1,1,False
peak,0,-1.670691333691115,1.4442673133253119,0.24991682451899744,-4.533479704972641,1.192097037590411,0,0,1,False
peak,1,-0.28375289527083486,1.5127680255846532,0.851564141684913,-3.28232156198052,2.71481577143885,1,1,1,False
peak,2,-0.49849250424021707,1.059038605638275,0.6388022220928712,-2.597690746135595,1.6007057376551608,2,2,1,False
peak,3,1.1073004981083012,1.1592572448669394,0.3416193087002845,-1.190548472999319,3.4051494692159214,3,3,1,False
peak,4,3.642088611387577,1.0479538615657205,0.0007355335716331161,1.564862255262069,5.7193149675130845,4,4,1,False
peak,5,3.245888808881655,1.3782084536577495,0.020320874263152714,0.5140405575707172,5.9777370601925925,5,5,1,False
peak,6,1.395558324748365,2.124206928002721,0.5125923108799504,-2.814988320997195,5.606104970493925,6,6,1,False
peak,7,1.4468392747908587,2.098173649823105,0.49194312134381313,-2.7121048972634934,5.60578344684521,7,7,1,False
peak,8,-0.0608010048387939,0.845413806658,0.9427996781062254,-1.736557834818527,1.6149558251409393,8,8,1,False
peak,9,0.9157361911399561,0.9060834256495225,0.3144413262659957,-0.8802783488471558,2.711750731127068,9,9,1,False
peak,10,-0.0991772595769946,1.4607191639223287,0.9459938167818147,-2.994576052863268,2.7962215337092786,10,10,1,False
peak,11,1.3035866538322383,0.9054757855850086,0.15285299215075465,-0.49122343813159897,3.0983967457960757,11,11,1,False
peak,12,-2.7818989725965686,1.697638302515859,0.10418839917076564,-6.146912600091046,0.5831146548979085,12,16,5,True
