sample,method,M,ci_low,ci_high,excludes_zero,original_estimate,original_se,status
all,relative_magnitude,0.0,0.508185,1.747224,True,1.127704,0.316087,ok
all,relative_magnitude,0.5,-3.579019,5.834428,False,1.127704,0.316087,ok
all,relative_magnitude,1.0,-7.666223,9.921632,False,1.127704,0.316087,ok
all,relative_magnitude,2.0,-15.840631,18.09604,False,1.127704,0.316087,ok
all,smoothness,0.0,-0.004498,1.120811,False,1.127704,0.316087,ok
all,smoothness,0.5,-23.968451,40.783976,False,1.127704,0.316087,ok
all,smoothness,1.0,-52.468451,69.283976,False,1.127704,0.316087,ok
all,smoothness,2.0,-109.468451,126.283976,False,1.127704,0.316087,ok
peak,relative_magnitude,0.0,0.177958,1.704765,True,0.941362,0.389499,ok
peak,relative_magnitude,0.5,-4.624555,6.507278,False,0.941362,0.389499,ok
peak,relative_magnitude,1.0,-9.427067,11.309791,False,0.941362,0.389499,ok
peak,relative_magnitude,2.0,-19.032093,20.914816,False,0.941362,0.389499,ok
peak,smoothness,0.0,-1.107341,0.175416,False,0.941362,0.389499,ok
peak,smoothness,0.5,-29.165388,37.500342,False,0.941362,0.389499,ok
peak,smoothness,1.0,-57.174241,67.588223,False,0.941362,0.389499,ok
peak,smoothness,2.0,-114.174241,124.588223,False,0.941362,0.389499,ok
offpeak,relative_magnitude,0.0,0.319432,1.576848,True,0.94814,0.320775,ok
offpeak,relative_magnitude,0.5,-3.778912,5.675192,False,0.94814,0.320775,ok
offpeak,relative_magnitude,1.0,-7.877257,9.773537,False,0.94814,0.320775,ok
offpeak,relative_magnitude,2.0,-16.073946,17.970226,False,0.94814,0.320775,ok
offpeak,smoothness,0.0,0.096791,1.202725,True,0.94814,0.320775,ok
offpeak,smoothness,0.5,-25.210118,40.094159,False,0.94814,0.320775,ok
offpeak,smoothness,1.0,-52.043858,70.322208,False,0.94814,0.320775,ok
offpeak,smoothness,2.0,-109.043858,127.322208,False,0.94814,0.320775,ok
weekend,relative_magnitude,0.0,0.981972,2.209571,True,1.595772,0.313169,ok
weekend,relative_magnitude,0.5,-3.563413,6.754957,False,1.595772,0.313169,ok
weekend,relative_magnitude,1.0,-8.108799,11.300342,False,1.595772,0.313169,ok
weekend,relative_magnitude,2.0,-17.199571,20.391114,False,1.595772,0.313169,ok
weekend,smoothness,0.0,0.29261,1.541438,True,1.595772,0.313169,ok
weekend,smoothness,0.5,-28.287479,37.779988,False,1.595772,0.313169,ok
weekend,smoothness,1.0,-52.75533,71.23604,False,1.595772,0.313169,ok
weekend,smoothness,2.0,-109.75533,128.23604,False,1.595772,0.313169,ok
