sample,method,M,ci_low,ci_high,excludes_zero,original_estimate,original_se,status
all,relative_magnitude,0.0,0.527546,1.676823,True,1.102185,0.293188,ok
all,relative_magnitude,0.5,-2.298598,4.502967,False,1.102185,0.293188,ok
all,relative_magnitude,1.0,-5.124741,7.329111,False,1.102185,0.293188,ok
all,relative_magnitude,2.0,-10.777029,12.981398,False,1.102185,0.293188,ok
all,smoothness,0.0,1.173255,2.609659,True,1.102185,0.293188,ok
all,smoothness,0.5,-13.782251,27.291195,False,1.102185,0.293188,ok
all,smoothness,1.0,-31.282251,44.791195,False,1.102185,0.293188,ok
all,smoothness,2.0,-66.282251,79.791195,False,1.102185,0.293188,ok
peak,relative_magnitude,0.0,0.210544,1.666091,True,0.938317,0.37132,ok
peak,relative_magnitude,0.5,-2.009458,3.886093,False,0.938317,0.37132,ok
peak,relative_magnitude,1.0,-4.22946,6.106095,False,0.938317,0.37132,ok
peak,relative_magnitude,2.0,-8.669464,10.546099,False,0.938317,0.37132,ok
peak,smoothness,0.0,0.229616,1.794623,True,0.938317,0.37132,ok
peak,smoothness,0.5,-17.871097,24.793008,False,0.938317,0.37132,ok
peak,smoothness,1.0,-34.984983,43.475928,False,0.938317,0.37132,ok
peak,smoothness,2.0,-69.984983,78.475928,False,0.938317,0.37132,ok
offpeak,relative_magnitude,0.0,0.328755,1.501579,True,0.915167,0.299195,ok
offpeak,relative_magnitude,0.5,-2.858518,4.688852,False,0.915167,0.299195,ok
offpeak,relative_magnitude,1.0,-6.045791,7.876125,False,0.915167,0.299195,ok
offpeak,relative_magnitude,2.0,-12.420336,14.250671,False,0.915167,0.299195,ok
offpeak,smoothness,0.0,0.926659,2.410792,True,0.915167,0.299195,ok
offpeak,smoothness,0.5,-14.702751,26.822752,False,0.915167,0.299195,ok
offpeak,smoothness,1.0,-31.006444,45.559564,False,0.915167,0.299195,ok
offpeak,smoothness,2.0,-66.006444,80.559564,False,0.915167,0.299195,ok
weekend,relative_magnitude,0.0,1.000607,2.140426,True,1.570517,0.290776,ok
weekend,relative_magnitude,0.5,-1.967073,5.108106,False,1.570517,0.290776,ok
weekend,relative_magnitude,1.0,-4.934752,8.075786,False,1.570517,0.290776,ok
weekend,relative_magnitude,2.0,-10.870112,14.011145,False,1.570517,0.290776,ok
weekend,smoothness,0.0,1.255961,2.805256,True,1.570517,0.290776,ok
weekend,smoothness,0.5,-16.958144,25.130892,False,1.570517,0.290776,ok
weekend,smoothness,1.0,-31.381911,46.393663,False,1.570517,0.290776,ok
weekend,smoothness,2.0,-66.381911,81.393663,False,1.570517,0.290776,ok
