boundary_hour,tau,se,pct_change,n_obs,n_dates,bandwidth_min,poly_order,detection_group,sample
5,-0.8388138286647185,0.021274294616269302,-56.7777090093891,60,5,60,1,Brooklyn Bridge,weekday
21,0.1656076182386493,0.014764162276811967,18.010995724088477,60,5,60,1,Brooklyn Bridge,weekday
5,-0.5762241843679407,0.016150742015050568,-43.798356422674736,60,5,60,1,East 60th St,weekday
21,0.13178413368880001,0.005670482099773248,14.086201900859585,60,5,60,1,East 60th St,weekday
5,-0.757620631783769,0.014645539550909074,-53.121949748554364,60,5,60,1,FDR Drive at 60th St,weekday
21,0.11041198342556821,0.018068820156704107,11.67380532683663,60,5,60,1,FDR Drive at 60th St,weekday
5,-0.24491442437531052,0.01406082884751867,-21.722847846229673,60,5,60,1,Holland Tunnel,weekday
21,0.14207988843095484,0.007785885250201364,15.266872975507487,60,5,60,1,Holland Tunnel,weekday
5,-0.33654977143577,0.024661162129517224,-28.576966557772217,60,5,60,1,Hugh L. Carey Tunnel,weekday
21,0.009917910843980419,0.005129223545988275,0.9967256321498505,60,5,60,1,Hugh L. Carey Tunnel,weekday
5,-0.4497567204681587,0.016305252693700277,-36.221670762949216,60,5,60,1,Lincoln Tunnel,weekday
21,0.05270085020035864,0.011996689601673969,5.411425987835037,60,5,60,1,Lincoln Tunnel,weekday
5,-0.5910984603571726,0.02482280596266947,-44.628128750524034,60,5,60,1,Manhattan Bridge,weekday
21,0.22571497944218205,0.013976214710527226,25.32184213561518,60,5,60,1,Manhattan Bridge,weekday
5,-0.08806189047578805,0.008001840078699253,-8.429579839919962,60,5,60,1,Queens Midtown Tunnel,weekday
21,0.02294582626917421,0.008754540667171231,2.321110688265169,60,5,60,1,Queens Midtown Tunnel,weekday
5,-0.4612114632120823,0.011920639113181298,-36.948066834346044,60,5,60,1,Queensboro Bridge,weekday
21,0.13940869811163936,0.008040941118755304,14.959384083787327,60,5,60,1,Queensboro Bridge,weekday
5,-0.11317679880314825,0.011931434819562664,-10.700723389357682,60,5,60,1,West 60th St,weekday
21,0.07680356198947508,0.00486075436265495,7.982993591273963,60,5,60,1,West 60th St,weekday
5,-0.8062199602895224,0.027509825615351386,-55.345717039104834,60,5,60,1,West Side Highway at 60th St,weekday
21,0.17049203039642136,0.015335719824331049,18.588820083731914,60,5,60,1,West Side Highway at 60th St,weekday
5,-0.608029871962137,0.017037824497175218,-45.557760496885955,60,5,60,1,Williamsburg Bridge,weekday
21,0.1618843670252788,0.026782499358141743,17.572428096434106,60,5,60,1,Williamsburg Bridge,weekday
