series,n_placebos,p95,max,mean,sd
tolled,18,0.11545450485229343,0.1865590908469065,0.04500406583413524,0.04190370321652051
exempt,18,0.07520330066008409,0.16705002713565206,0.035306227238186445,0.03762359897871905
